Year,Category,Album/Song,Workers,Artist,Winner
2013,Best Rap Performance,Ni**as in Paris.,"Jay-Z, Kanye West",Jay-Z,TRUE
2013,Best Rap Song,Ni**as in Paris.,"Mike Dean (Songwriter), Hit-Boy (Songwriter), Jay-Z (Songwriter), Kanye West (Songwriter)",Jay-Z,TRUE
2013,Best Rap/Sung Collaboration,No Church in the Wild.,"The-Dream, Jay-Z, Frank Ocean, Kanye West",Jay-Z,TRUE
2013,Best Rap/Sung Collaboration,Talk That Talk.,"Jay-Z, Rihanna",Jay-Z,FALSE
2013,Best Short Form Music Video,Jay-Z & Kanye West Feat. Frank Ocean: No Church in the Wild,"Jay-Z (artist), Kanye West (artist), Frank Ocean (artist), The-Dream (artist), Romain Gavras (video director), Mourad Belkeddar (video producer)",Jay-Z,FALSE
2014,Best Music Video,Picasso Baby: A Performance Art Film,"Mark Romanek (video director), Jay-Z (video producer), Aristides McGarry (video producer)",Jay-Z,FALSE
2014,Best Rap Album,Magna Carta... Holy Grail.,Jay-Z,Jay-Z,FALSE
2014,Best Rap Song,Holy Grail.,"Jay-Z (songwriter), The-Dream (songwriter), Jerome Harmon (songwriter), Timbaland (songwriter), Justin Timberlake (songwriter), No I.D. (songwriter)",Jay-Z,FALSE
2014,Best Rap/Sung Collaboration,Holy Grail.,"Jay-Z, Justin Timberlake",Jay-Z,TRUE
2014,Best Rap/Sung Collaboration,Part II (On the Run).,"Jay-Z, Beyoncé",Jay-Z,FALSE
2014,Best Short Form Music Video,Justin Timberlake Ft. Jay-Z: Suit & Tie,"David Fincher (Video Director), Jay-Z (Artist), Justin Timberlake (Artist), Timory King (Video Producer)",Jay-Z,FALSE
2014,Best Short Form Music Video,Picasso Baby: A Performance Art Film,"Jay-Z (Artist/Producer), Aristides McGarry (Video Producer), Mark Romanek (Video Director)",Jay-Z,FALSE
2015,Best R&B Performance,Drunk in Love.,"Beyoncé, Jay-Z",Jay-Z,TRUE
2015,Best R&B Song,Drunk in Love.,"Jay-Z (songwriter), Rasool Diaz (songwriter), Noel Fisher (songwriter), Jerome Harmon (songwriter), Beyoncé (songwriter), Timbaland (songwriter), Dre Moon (songwriter), Brian Soko (songwriter)",Jay-Z,TRUE
2017,Best Rap Performance,Pop Style,"Drake, Jay-Z, Kanye West",Jay-Z,FALSE
2018,Album of the Year,4:44,"Jay-Z (artist/producer/songwriter), No I.D. (producer/songwriter), Gimel Keaton (engineer/mixer), Dave Kutch (mastering engineer), Gimel Keaton (engineer/mixer), Jimmy Douglass (engineer/mixer)",Jay-Z,FALSE
2018,Best Music Video,Jay-Z: The Story of O.J.,"Jay-Z (artist/video director), Mark Romanek (video director), Daniel Midgley (video producer), No I.D. (video producer), Chaka Pilgrim (video producers), Elizabeth Newman (video producers)",Jay-Z,FALSE
2018,Best Rap Song,The Story of O.J.,"No I.D. (artist), Jay-Z (song writer/artist)",Jay-Z,FALSE
2018,Record of the Year,The Story of O.J.,"Jay-Z (artist/producer), No I.D. (producer), Gimel Keaton (engineer/mixer), Dave Kutch (mastering engineer), Jimmy Douglass (engineer/mixer)",Jay-Z,FALSE
2014,Best New Artist,Kendrick Lamar,Kendrick Lamar,Kendrick Lamar,FALSE
2014,Best Rap Album,"Good Kid, M.A.A.D City.",Kendrick Lamar,Kendrick Lamar,FALSE
2014,Best Rap Performance,Swimming Pools (Drank).,Kendrick Lamar,Kendrick Lamar,FALSE
2015,Best Rap Performance,i.,Kendrick Lamar,Kendrick Lamar,TRUE
2015,Best Rap Song,i.,"Kendrick Lamar (Songwriter), Rahki (Songwriter)",Kendrick Lamar,TRUE
2016,Album of the Year,To Pimp a Butterfly.,"Kendrick Lamar (artist), Bilal (featured artist), George Clinton (featured artist), James Fauntleroy (featured artist), Ronald Isley (featured artist), Rapsody (featured artist), Snoop Dogg (featured artist), Thundercat (featured artist/producer), Anna Wise (featured artist), Tay Arnold (producer), Boi-1da (producer), Flying Lotus (producer), Tommy Black (producer), Koz (producer), Terrace Martin (producer), Rahki (producer), Sounwave (producer), Pharrell Williams (producer), Derek Ali (engineer/mixer), Thomas Burns (engineer/mixer), James Michael Hunt (engineer/mixer), Patrick Douthit (engineer/mixer)",Kendrick Lamar,FALSE
2016,Best Music Video,Taylor Swift: Bad Blood,"Taylor Swift (artist), Kendrick Lamar (artist), Joseph Kahn (director), Ron Mohrhoff (producer)",Kendrick Lamar,TRUE
2016,Best Rap Album,To Pimp a Butterfly.,Kendrick Lamar,Kendrick Lamar,TRUE
2016,Best Rap Performance,Alright.,Kendrick Lamar,Kendrick Lamar,TRUE
2016,Best Rap Song,Alright.,"Kendrick Lamar (songwriter), Kawan Prather (songwriter), Sounwave (songwriter), Pharrell Williams (songwriter)",Kendrick Lamar,TRUE
2016,Best Rap Song,All Day.,"Tyler Bryant (songwriter), Sean 'Diddy' Combs (songwriter), Mike Dean (songwriter), Noah Goldstein (songwriter), Malik Yusef (songwriter), French Montana (songwriter), Kendrick Lamar (songwriter), Paul McCartney (songwriter), Vic Mensa (songwriter), Charles Njapa (songwriter), Che Pope (songwriter), Patrick 'Plain Pat' Reynolds (songwriter), Allen Ritter (songwriter), Kanye West (songwriter), Mario Winans (songwriter), CyHi the Prynce (songwriter)",Kendrick Lamar,FALSE
2016,Best Rap/Sung Collaboration,These Walls.,"Kendrick Lamar, Bilal (featured artist), Anna Wise (featured artist), Thundercat (featured artist)",Kendrick Lamar,TRUE
2017,Album of the Year,Lemonade,"Dave Kutch (mastering engineer), Stuart White (engineers/mixer), Scott V. Smith (engineers/mixer), Vance Powell (engineers/mixer), Lester Mendoza (engineers/mixer), Tony Maserati (engineers/mixer), Jaycen Joshua (engineers/mixer), Malik Yusef (producer), Jack White (producer), Mike Will Made It (producer), Melo-x (producer), Jeremy MacDonald (producer), Ezra Koenig (producer), Just Blaze (producer), Hit-Boy (producer), HazeBanga (producer), Diana Gordon (producer), Kevin Garrett (producer), Derek Dixie (producer), Diplo (producer), Alex Delicata (producer), Mike Dean (producer/engineers/mixers), Danny Schofield (producer), Jonny Coffer (producer), Jordan Asher Cruz (producer), James Blake (producer), Ben Billions (producer), Vincent Berry II (producer), Jack White (artist), The Weeknd (artist), Kendrick Lamar (artist), James Blake (artist), Beyoncé (artist/produce)",Kendrick Lamar,FALSE
2018,Best Rap Album,Damn,Kendrick Lamar (artist),Kendrick Lamar,TRUE
2018,Best Rap Performance,HUMBLE.,Kendrick Lamar,Kendrick Lamar,TRUE
2018,Best Rap Song,Humble,"Mike Will Made It (songwriter), Asheton Hogan (songwriter), Kendrick Lamar (songwriter/artist)",Kendrick Lamar,TRUE
2018,Best Rap/Sung Performance,LOYALTY.,"Kendrick Lamar, Rihanna",Kendrick Lamar,TRUE
2019,Album of the Year,"Black Panther: The Album, Music from and Inspired By","Kendrick Lamar (featured artist/producer/songwriter), Sounwave (producer/songwriter), Matt Schaeffer (engineer/mixer), Mike Bozzi (mastering engineer)",Kendrick Lamar,FALSE
2019,Best Rap Song,Win (Jay Rock),"Jay Rock, Kendrick Lamar, Vinylz, Boi-1da, Cory Thompson",Kendrick Lamar,FALSE
2019,Best Rap/Sung Performance,All the Stars,"Kendrick Lamar, SZA",Kendrick Lamar,FALSE
2019,Record of the Year,All the Stars,"Kendrick Lamar (artist), SZA (artist), Al Shux (producer), Sounwave (producer), Sam Ricci (engineer/mixer), Matt Schaeffer (engineer/mixer), Mike Bozzi (mastering engineer)",Kendrick Lamar,FALSE
2000,Best Rap Album,The Slim Shady LP,Eminem,Eminem,TRUE
2000,Best Rap Solo Performance,My Name Is,Eminem,Eminem,TRUE
2001,Best Rap Album,The Marshall Mathers LP,"Eminem (artist/producer), Dr. Dre (engineer/mixer), Richard Huredia (engineer/mixer)",Eminem,TRUE
2001,Best Rap Performance by a Duo or Group,Forgot About Dre,"Dr. Dre, Eminem",Eminem,TRUE
2001,Best Rap Solo Performance,The Real Slim Shady,Eminem,Eminem,TRUE
2003,Best Rap Album,The Eminem Show,"Eminem (artist/producer), Steve King (engineer/mixer)",Eminem,TRUE
2003,Best Short Form Music Video,Eminem: Without Me,"Eminem (artist), Joseph Kahn (video director), Greg Tharp (video producer)",Eminem,TRUE
2004,Best Male Rap Solo Performance,Lose Yourself,Eminem,Eminem,TRUE
2004,Best Rap Song,Lose Yourself,"Jeff Bass (songwriter), Eminem (artist/songwriter), Luis Resto (songwriter)",Eminem,TRUE
2004,Song of the Year,Lose Yourself,"Jeff Bass (songwriter), Eminem (songwriter), Luis Resto (songwriter)",Eminem,FALSE
2007,Best Rap/Sung Collaboration,Smack That,"Eminem, Akon",Eminem,FALSE
2010,Best Rap Album,Relapse.,Eminem,Eminem,TRUE
2010,Best Rap Performance by a Duo or Group,Crack a Bottle.,"50 Cent, Dr. Dre, Eminem",Eminem,TRUE
2011,Best Rap Album,Recovery,Eminem,Eminem,TRUE
2011,Best Rap Solo Performance,Not Afraid,Eminem,Eminem,TRUE
2011,Best Rap/Sung Collaboration,Love the Way You Lie.,"Eminem, Rihanna",Eminem,FALSE
2011,Best Short Form Music Video,Eminem Featuring Rihanna: Love the Way You Lie,"Eminem, Rihanna, Joseph Khan (video director), Mary Ann Tanedo (video producer)",Eminem,FALSE
2014,Best Rap Performance,Berzerk.,Eminem,Eminem,FALSE
2015,Best Rap Album,The Marshall Mathers LP 2.,Eminem,Eminem,TRUE
2015,Best Rap/Sung Collaboration,The Monster.,"Eminem, Rihanna",Eminem,TRUE
2004,Best Pop Vocal Album,Justified,"Justin Timberlake (artist), Chad Hugo (producer), Pharrell Williams (producer), Serban Ghenea (engineer/mixer)",Pharrell Williams,TRUE
2004,Best Rap Song,Beautiful,"Snoop Dogg (songwriter), Chad Hugo (songwriter), Pharrell Williams (songwriter)",Pharrell Williams,FALSE
2005,Best Rap Performance by a Duo or Group,Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",Pharrell Williams,FALSE
2005,Best Rap Song,Drop It Like It's Hot,"Snoop Dogg (songwriter), Chad Hugo (songwriter), Pharrell Williams (songwriter)",Pharrell Williams,FALSE
2007,Best Rap Album,In My Mind,Pharrell Williams,Pharrell Williams,FALSE
2007,Best Rap Song,Money Maker,"Ludacris (artist/songwriter), Pharrell Williams (artist/songwriter)",Pharrell Williams,TRUE
2014,Album of the Year,Random Access Memories.,"Daft Punk (Artist), Julian Casablancas (Featured Artist/Producer), DJ Falcon (Featured Artist/Producer), Todd Edwards (Featured Artist), Chilly Gonzales (Featured Artist), Giorgio Moroder (Featured Artist), Panda Bear (Featured Artist), Nile Rodgers (Featured Artist), Paul Williams (Featured Artist), Pharrell Williams (Featured Artist), Thomas Bangalter (Producer), Guy-Manuel De Homem-Christo (Producer), Peter Franco (Producer), Florian Lagatta (Producer), Guillaume Le Braz (Producer), Daniel Lerner (Producer), Antoine 'Chab' Chabert (Mastering Engineer), Bob Ludwig (Mastering Engineer)",Pharrell Williams,TRUE
2014,Best Pop Duo/Group Performance,Get Lucky.,"Daft Punk, Pharrell Williams",Pharrell Williams,TRUE
2014,Best Pop Duo/Group Performance,Blurred Lines.,"Robin Thicke, T.I., Pharrell Williams",Pharrell Williams,FALSE
2014,Producer of the Year (Non-Classical),Pharrell Williams,Pharrell Williams,Pharrell Williams,TRUE
2014,"Producer of the Year, Non-Classical",Pharrell Williams (producer),Pharrell Williams (producer),Pharrell Williams,TRUE
2014,Record of the Year,Get Lucky.,"Daft Punk (Artist), Nile Rodgers (Artist), Pharrell Williams (Artist), Thomas Bangalter (Producer), Guy-Manuel De Homem-Christo (Producer), Peter Franco (Engineer/Mixer), Mick Guzauski (Engineer/Mixer), Florian Lagatta (Engineer/Mixer), Daniel Lerner (Engineer/Mixer), Antoine 'Chab' Chabert (Mastering Engineer), Bob Ludwig (Mastering Engineer)",Pharrell Williams,TRUE
2014,Record of the Year,Blurred Lines.,"Robin Thicke (Artist), T.I. (Artist), Pharrell Williams (Artist/Producer), Andrew Coleman (Engineer/Mixer), Tony Maserati (Engineer/Mixer), Chris Gehringer (Mastering Engineer)",Pharrell Williams,FALSE
2015,Album of the Year,x.,"Ed Sheeran (artist), Jeff Bhasker (producer), Benny Blanco (producer), Jake Gosling (producer/engineer/mixer), John McDaid (producer/engineer/mixer), Rick Rubin (producer), Pharrell Williams (producer), Andrew Coleman (engineer/mixer), Tyler S. Johnson (engineer/mixer), Mark Stent (engineer/mixer), Geoffrey Swann (engineer/mixer), Stuart Hawkes (mastering engineer)",Pharrell Williams,FALSE
2015,Best Music Video,Pharrell Williams: Happy,"Pharrell Williams (artist), Pierre Dupaquier (video director), Clément Durou (video director), Kathleen Heffernan (video producer), Solal Micenmacher (video producer), Jett Steiger (video producer), Cédric Troadec (video producer)",Pharrell Williams,TRUE
2015,Best Pop Solo Performance,Happy (Live).,Pharrell Williams,Pharrell Williams,TRUE
2015,Best Urban Contemporary Album,G I R L.,Pharrell Williams,Pharrell Williams,TRUE
2016,Album of the Year,To Pimp a Butterfly.,"Kendrick Lamar (artist), Bilal (featured artist), George Clinton (featured artist), James Fauntleroy (featured artist), Ronald Isley (featured artist), Rapsody (featured artist), Snoop Dogg (featured artist), Thundercat (featured artist/producer), Anna Wise (featured artist), Tay Arnold (producer), Boi-1da (producer), Flying Lotus (producer), Tommy Black (producer), Koz (producer), Terrace Martin (producer), Rahki (producer), Sounwave (producer), Pharrell Williams (producer), Derek Ali (engineer/mixer), Thomas Burns (engineer/mixer), James Michael Hunt (engineer/mixer), Patrick Douthit (engineer/mixer)",Pharrell Williams,FALSE
2016,Best Rap Song,Alright.,"Kendrick Lamar (songwriter), Kawan Prather (songwriter), Sounwave (songwriter), Pharrell Williams (songwriter)",Pharrell Williams,TRUE
2018,Best Score Soundtrack for Visual Media,Hidden Figures,"Hans Zimmer, Pharrell Williams, Benjamin Wallfisch",Pharrell Williams,FALSE
2019,"Producer of the Year, Non-Classical",Pharrell Williams,Pharrell Williams,Pharrell Williams,TRUE
2008,Best Rap Song,Good Life,"Kanye West (artist/songwriter), T-Pain (artist/songwriter), Dj Toomp (songwriter), Mike Dean (songwriter)",T-Pain,TRUE
2008,Best Rap/Sung Collaboration,Kiss Kiss,"Chris Brown, T-Pain",T-Pain,FALSE
2008,Best Rap/Sung Collaboration,Good Life,"T-Pain, Kanye West",T-Pain,FALSE
2009,Album of the Year,Tha Carter III,"Lil' Wayne (artist), The Alchemist (producer), David Banner (producer), Vaushaun Brooks (producer), Cool & Dre (producer), Andrews Correa (producer), Shondrae Crawford (producer), Jim Jonsin (producer), Mousa (producer), Pro Jay (producer), Rodnae (producer), Play-N-Skillz (producer), D. Smith (producer), Swizz Beatz (producer), T-Pain (producer), Kanye West (producer), Darius Deezle Harrison (producer/engineer/mixer), Robin Thicke (producer/engineer/mixer), Angel Aponte (engineer/mixer), Joshua Berkman (engineer/mixer), Andrew Dawson (engineer/mixer), Joe G. (engineer/mixer), Fabian Marascuillo (engineer/mixer), Miguel Scott (engineer/mixer), Julian Vasquez (engineer/mixer), Gina Victoria (engineer/mixer), Vlado Meller (mastering engineer)",T-Pain,FALSE
2009,Best Rap/Sung Collaboration,Low,"Flo Rida, T-Pain",T-Pain,FALSE
2010,Best R&B Performance by a Duo or Group with Vocals,Blame It,"Jamie Foxx (artist), T-Pain (artist)",T-Pain,TRUE
2010,Best R&B Vocal Performance by a Duo or Group,Blame It.,"Jamie Foxx, T-Pain",T-Pain,TRUE
2010,Best Rap/Sung Collaboration,I'm On a Boat.,"The Lonely Island, T-Pain",T-Pain,FALSE
2001,Best Instrumental Composition,Theme From Angela's Ashes,John Williams (artist/composer),John Williams,TRUE
2002,Best Classical Crossover Album,"Perpetual Motion - Scarlatti, Bach, Debussy, Chopin","Bela Fleck (artist/producer), Edgar Meyer (artist/producer), Joshua Bell (artist), John Williams (artist), Evelyn Glennie (artist), Robert Battaglia (engineer)",John Williams,TRUE
2003,"Best Score Soundtrack Album for a Motion Picture, Television or Other Visual Media",Harry Potter and the Sorcerer's Stone,John Williams,John Williams,FALSE
2004,"Best Score Soundtrack Album for a Motion Picture, Television or Other Visual Media",Harry Potter and the Chamber of Secrets,John Williams,John Williams,FALSE
2005,"Best Score Soundtrack Album for a Motion Picture, Television or Other Visual Media",Harry Potter and the Prisoner of Azkaban,John Williams,John Williams,FALSE
2006,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Star Wars: Episode III - Revenge of the Sith,John Williams,John Williams,FALSE
2007,Best Instrumental Composition,A Prayer For Peace,John Williams (composer),John Williams,TRUE
2007,"Best Score Soundtrack Album for Motion Picture, Television or Other Visual Media",Memoirs of a Geisha,"John Williams (artist/composer), Shawn Murphy (engineer/mixer), Itzhak Perlman (artist), Yo-Yo Ma (artist)",John Williams,TRUE
2009,Best Instrumental Composition,The Adventures Of Mutt,John Williams (artist/composer),John Williams,TRUE
2017,Best Score Soundtrack for Visual Media,Star Wars: Episode VII - The Force Awakens,John Williams,John Williams,TRUE
2018,"Best Arrangement, Instrumental or A Cappella",Escapades for Alto Saxophone and Orchestra from Catch Me If You Can,John Williams (arranger/artist),John Williams,TRUE
2019,Best Instrumental Composition,Mine Mission,"John Powell (composer), John Williams (composer)",John Williams,FALSE
2000,"Best Jazz Instrumental Performance, Individual or Group",Like Minds,"Gary Burton, Chick Corea, Pat Metheny, Roy Haynes, Dave Holland",Chick Corea,TRUE
2001,Best Instrumental Arrangement,Spain For Sextet & Orchestra,Chick Corea (artist/arranger),Chick Corea,TRUE
2004,Best Jazz Instrumental Solo,Matrix,Chick Corea (soloist),Chick Corea,TRUE
2007,Best Instrumental Arrangement,Three Ghouls,Chick Corea (arranger),Chick Corea,TRUE
2007,"Best Jazz Instrumental Album, Individual or Group",The Ultimate Adventure,"Chick Corea (artist), Bernie Kirsch (engineer/mixer), Al Schmitt (engineer/mixer), Buck Snow (engineer/mixer)",Chick Corea,TRUE
2009,"Best Jazz Instrumental Album, Individual or Group",The New Crystal Silence,"Chick Corea (artist/producer), Gary Burton (artist/producer)",Chick Corea,TRUE
2010,"Best Jazz Instrumental Album, Individual or Group",Five Peace Band - Live,"Brian Vibberts (engineer/mixer), Buck Snow (engineer/mixer), Sven Hofmann (engineer/mixer), Chick Corea (artist), John McLaughlin Five Peace Band (artist), Bernie Kirsch (engineer/mixer)",Chick Corea,TRUE
2012,Best Improvised Jazz Solo,500 Miles High,Chick Corea (soloist),Chick Corea,TRUE
2012,Best Jazz Instrumental Album,Forever,"Brian Vibberts (engineer/mixer), Buck Snow (engineer/mixer), Bernie Kirsch (engineer/mixer), Stanley Clarke (producer/artist), Chick Corea (producer/artist), Lenny White (producer/artist)",Chick Corea,TRUE
2013,Best Improvised Jazz Solo,Hot House,"Gary Burton (soloist), Chick Corea (soloist)",Chick Corea,TRUE
2013,Best Instrumental Composition,Mozart Goes Dancing,"Chick Corea (composer/artist), Gary Burton (artist)",Chick Corea,TRUE
2015,Best Improvised Jazz Solo,Fingerprints.,Chick Corea,Chick Corea,TRUE
2015,Best Jazz Instrumental Album,Trilogy.,Chick Corea,Chick Corea,TRUE
2000,Best Classical Contemporary Composition,Boulez: Répons,Pierre Boulez (composer),Pierre Boulez,TRUE
2002,Best Orchestral Performance,"Boulez Conducts Varèse - Amériques, Arcana, Déserts & Ionisation","Pierre Boulez (conductor), Helmut Burk (producer), Karl-August Naegler (producer), Jobst Eberhardt (engineer), Staphan Flock (engineer), Chicago Symphony Orchestra (artist)",Pierre Boulez,TRUE
2004,Best Orchestral Performance,Mahler: Symphony No. 3,"Pierre Boulez (conductor), Christian Gansch (producer), Wolf-Dieter Karwatky (engineer), Rainer Maillard (engineer), Wiener Philharmoniker (artist)",Pierre Boulez,TRUE
2006,Best Small Ensemble Performance (with or without Conductor),"Boulez: Le Marteau Sans Maître, Dérive 1 & 2","Helmut Burk (producer), Pierre Boulez (conductor), Ensemble Intercontemporain (ensembles), Staphan Flock (engineer), Wolf-Dieter Karwatky (engineer)",Pierre Boulez,TRUE
2000,"Best Jazz Instrumental Performance, Individual or Group",Like Minds,"Gary Burton, Chick Corea, Pat Metheny, Roy Haynes, Dave Holland",Pat Metheny,TRUE
2001,Best Jazz Instrumental Solo,(Go) Get It,Pat Metheny (soloist),Pat Metheny,TRUE
2003,Best Contemporary Jazz Album,Speaking Of Now,"Pat Metheny Group (artist), Lyle Mays (producer), Pat Metheny (producer), Steve Rodby (producer), Rob Eaton (engineer/mixer)",Pat Metheny,TRUE
2004,Best New Age Album,One Quiet Night,"Pat Metheny (artist/producer), Steve Rodby (producer)",Pat Metheny,TRUE
2006,Best Contemporary Jazz Album,The Way Up,"Pat Metheny (artist/producer), Lyle Mays (producer), Steve Rodby (producer), Rob Eaton (engineer/mixer)",Pat Metheny,TRUE
2008,"Best Jazz Instrumental Album, Individual or Group",Pilgrimage,"Michael Brecker (artist/producer), Gil Goldstein (producer), Pat Metheny (producer), Steve Rodby (producer)",Pat Metheny,TRUE
2009,Best Country Instrumental Performance,Is This America? (Katrina 2005),"Charlie Haden, Pat Metheny, Jerry Douglas, Bruce Hornsby",Pat Metheny,FALSE
2009,"Best Jazz Instrumental Album, Individual or Group",Day Trip,"Pat Metheny, Christian McBride, Antonio Sanchez",Pat Metheny,FALSE
2012,Best New Age Album,What's It All About,"David Oakes (engineer/mixer), Pat Metheny (producer/artist/engineer/mixer), Pete Karam (engineer/mixer)",Pat Metheny,TRUE
2013,Best Jazz Instrumental Album,Unity Band,"Pete Karam (engineers/mixer), James Farber (engineers/mixer), Pat Metheny Unity Band (artist)",Pat Metheny,TRUE
